# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 768

 -> 33 (5000) [1]
33 -> 14 (4000) [1]
11 -> 33 (4500) [1]
12 -> 33 (4500) [1]
13 -> 33 (4500) [1]
22 -> 33 (4500) [1]
23 -> 33 (4500) [1]
33,11 -> 24 (13) [10]
11,33 -> 13 (-3) [10]
33,11,23 -> 15 (10000) [10]
33,11,23,83 -> 24 (10000) [10]
33,11,23,34 -> 24 (10000) [10]
12,33 -> 45 (10000) [10]
33,11,23,32 -> 24 (10000) [10]
33,11,23,62 -> 24 (10000) [10]
33,11,23,13 -> 24 (10000) [10]
33,11,23,71 -> 24 (10000) [10]
33,11,23,81 -> 24 (10000) [10]
11,33,23 -> 12 (-1) [10]
11,33,23,34 -> 41 (10000) [10]
33,11,23,43 -> 24 (10000) [10]
11,33,23,73 -> 22 (10000) [10]
11,33,23,83 -> 41 (10000) [10]
11,33,23,71 -> 41 (10000) [10]
13,33 -> 42 (-1) [10]
11,33,23,81 -> 41 (10000) [10]
11,33,23,22 -> 41 (10000) [10]
11,33,23,32 -> 41 (10000) [10]
11,33,23,42 -> 41 (10000) [10]
23,33 -> 22 (-1) [10]
11,33,34 -> 14 (10000) [10]
11,33,34,24 -> 12 (10000) [10]
11,33,34,38 -> 12 (10000) [10]
11,33,34,42 -> 12 (10000) [10]
11,33,34,43 -> 12 (10000) [10]
11,33,34,18 -> 12 (10000) [10]
11,33,34,37 -> 12 (10000) [10]
11,33,34,44 -> 12 (10000) [10]
11,33,34,23 -> 12 (10000) [10]
23,33,29 -> 21 (10000) [10]
23,33,29,19 -> 22 (10000) [10]
23,33,29,34 -> 22 (10000) [10]
23,33,29,43 -> 22 (10000) [10]
23,33,29,32 -> 22 (10000) [10]
23,33,29,35 -> 22 (10000) [10]
23,33,29,31 -> 22 (10000) [10]
23,33,29,28 -> 22 (10000) [10]
23,33,29,20 -> 22 (10000) [10]
33,12 -> 22 (12) [10]
33,11,34 -> 22 (13) [10]
33,23 -> 22 (11) [10]
33,11,34,38 -> 12 (10000) [10]
33,22 -> 23 (11) [10]
33,11,34,43 -> 12 (10000) [10]
33,11,34,27 -> 12 (10000) [10]
33,11,34,31 -> 21 (10000) [10]
33,13 -> 21 (11) [10]
33,11,34,32 -> 12 (10000) [10]
23,33,42 -> 21 (10000) [10]
23,33,42,28 -> 22 (10000) [10]
12,33,22 -> 14 (10000) [10]
23,33,42,43 -> 22 (10000) [10]
23,33,42,13 -> 22 (10000) [10]
23,33,42,34 -> 22 (10000) [10]
23,33,42,19 -> 22 (10000) [10]
23,33,42,32 -> 22 (10000) [10]
23,33,42,31 -> 22 (10000) [10]
12,33,22,34 -> 11 (10000) [10]
12,33,22,38 -> 11 (10000) [10]
12,33,22,27 -> 11 (10000) [10]
12,33,22,18 -> 11 (10000) [10]
12,33,22,43 -> 11 (10000) [10]
12,33,22,23 -> 11 (10000) [10]
12,33,22,24 -> 11 (10000) [10]
12,33,22,32 -> 11 (10000) [10]
33,11,34,18 -> 55 (10000) [10]
33,12,62 -> 23 (13) [10]
11,33,23,26 -> 14 (10000) [10]
11,33,23,27 -> 14 (10000) [10]
33,11,34,35 -> 21 (10000) [10]
23,33,42,22 -> 54 (10000) [10]
33,12,62,34 -> 51 (10000) [10]
33,12,62,31 -> 53 (10000) [10]
12,33,37 -> 15 (10000) [10]
11,33,23,31 -> 14 (10000) [10]
12,33,37,44 -> 11 (10000) [10]
12,33,37,32 -> 11 (10000) [10]
33,12,62,73 -> 53 (13) [10]
11,33,23,17 -> 14 (10000) [10]
12,33,37,34 -> 13 (10000) [10]
12,33,37,27 -> 11 (10000) [10]
33,12,62,43 -> 15 (10000) [10]
33,11,34,23 -> 55 (10000) [10]
12,33,37,17 -> 13 (10000) [10]
12,33,37,18 -> 14 (10000) [10]
11,33,23,24 -> 41 (10000) [10]
12,33,37,38 -> 11 (10000) [10]
33,12,62,81 -> 53 (10000) [10]
12,33,37,22 -> 13 (10000) [10]
33,12,62,32 -> 53 (10000) [10]
33,13,19 -> 22 (14) [10]
33,22,38 -> 14 (11) [10]
33,12,62,42 -> 53 (10000) [10]
33,22,38,26 -> 11 (10000) [10]
33,13,19,28 -> 15 (10000) [10]
11,33,27 -> 21 (-1) [10]
11,33,27,43 -> 14 (10000) [10]
11,33,27,37 -> 22 (10000) [10]
11,33,27,38 -> 14 (10000) [10]
11,33,27,17 -> 14 (10000) [10]
33,12,62,83 -> 51 (10000) [10]
11,33,27,18 -> 14 (10000) [10]
11,33,27,22 -> 14 (10000) [10]
11,33,27,23 -> 14 (10000) [10]
33,13,19,43 -> 15 (10000) [10]
11,33,27,24 -> 14 (10000) [10]
33,13,19,12 -> 15 (10000) [10]
12,33,42 -> 15 (10000) [10]
12,33,42,44 -> 11 (10000) [10]
12,33,42,32 -> 11 (10000) [10]
12,33,42,34 -> 13 (10000) [10]
12,33,42,27 -> 11 (10000) [10]
23,33,28 -> 54 (10000) [10]
33,13,19,32 -> 15 (10000) [10]
12,33,73 -> 11 (10000) [10]
23,33,28,29 -> 21 (10000) [10]
12,33,73,23 -> 22 (10000) [10]
33,22,38,27 -> 31 (11) [10]
12,33,42,17 -> 13 (10000) [10]
12,33,73,43 -> 31 (10000) [10]
12,33,42,18 -> 14 (10000) [10]
